name,model
Barn UAP-AC Mesh,UAP AC M
Barn UAP-AC Mesh 2,UAP AC M
Barn USW Flex,USW Flex
Bunkhouse AC In Wall,UAP AC IW
Cabin 7 UAP AC-Lite,UAP AC Lite
Cabins @ RR UAP-AC Mesh,UAP AC M
Cabins 5-6 Flex,USW Flex
Cabins 5-6 UAP AC-Lite,UAP AC Lite
Camp Cabin 7 Flex Mini,USW Flex Mini
Camp Kitchen Switch Flex Mini,USW Flex Mini
CC CR UAP AC Lite,UAP AC Lite
CC Switch US-24-250W,US 24 250W
CC UAP-AC Replacement,UAP AC Lite
CH AC In Wall,UAP AC IW
CH Switch,US 24 250W
CH Switch US-8,US 8
CH UAP AC Mesh,UAP AC M
Chapel AC In Wall,UAP AC IW
Chapel AVL Desk - US 8 150W,US 8 150W
Chapel Switch 24,US 24 250W
Chapel UAP-AC,UAP AC Lite
DH AP In-Wall HD,IW HD
DH Switch,US 24 250W
EDO Admin17 Switch 8,US 8
EDO U6-Mesh,U6 Mesh
EDO Unifi6 AP LR,U6 LR
EDO USW-48-PoE,USW 48 PoE
FH Coxes WiFi 6 Lite,U6 Lite
FH1 Switch,US 8 150W
FH1 UAP AC LR,UAP AC LR
FH3 Flex Mini,USW Flex Mini
FH3 UAP AC LR,UAP AC LR
FH4 Switch,US 8 60W
FH4 UAP AC LR,UAP AC LR
FH6 FlexMini,USW Flex Mini
FH6 UAP-FlexHD,FlexHD
FH7 UAP-AC-Lite,UAP AC Lite
FH8 U6 Lite UAP,U6 Lite
Gallery AC In Wall,UAP AC IW
Grocery UAP Mesh,UAP AC M
KH Switch 8,US 8 150W
KH UAP AC LR,UAP AC LR
KH UAP-AC Mesh,UAP AC M
Kitchen UAP-AC,UAP AC Lite
LGate Flex,USW Flex
LGate HD Mesh,UAP AC M
LR AC In Wall,UAP AC IW
LR Switch,US 24 250W
LR UAP AC Mesh,UAP AC M
MediaTech Downstairs USW-Flex-Mini,USW Flex Mini
OR Apt In Wall,UAP AC IW
OR Flex Mini,USW Flex Mini
OR Switch 8,US 8 150W
OR UAP AC Mesh,UAP AC M
PH Switch 8,US 8 150W
PH UAP-ACLite,UAP AC Lite
Pump House 1 Switch 8,US 8 150W
Pump house UAP-AC-Mesh,UAP AC M
SAS AP Mesh,UAP AC M
SAS Resource Switch,US 24 250W
Shelter Kitchen UAP AC Mesh,UAP AC M
SLL - Chemistry Shelter HD Mesh,UAP AC M
SLL Switch,US 24 250W
SLL UAP AC Mesh,UAP AC M
Thistle Dew BeaconHD,UAP BeaconHD
Tree House AC In wall,UAP AC IW
WC Roof Flex,USW Flex
WC UAP-FlexHD,FlexHD
WC USW-48-PoE,USW 48 PoE
Wood shop AP BeaconHD Maint Meeting,UAP BeaconHD
Wood shop AP-BeaconHD Camp,UAP BeaconHD
Wood shop UAP-AC-Mesh,UAP AC M
WRes Apt UAP AC-Lite,UAP AC Lite
WRes Switch 8,US 8 150W
WRes UAP-AC-LR,UAP AC LR
WRes UAPACIW,UAP AC IW
