"DeletionTimestamp","ObjectId","ObjectType","Description","DirSyncEnabled","DisplayName","LastDirSyncTime","Mail","MailEnabled","MailNickName","OnPremisesSecurityIdentifier","ProvisioningErrors","ProxyAddresses","SecurityEnabled"
,"63f0c759-1186-4261-bdb9-c1501b5b5614","Group","Lakeagents",,"Lakeagents",,"Lakeagents@cbww.com","True","Lakeagents",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"09703da8-b949-4cb6-b37c-a4b2c821570e","Group","On Boarding",,"On Boarding",,"OnBoarding@cbww.com","True","OnBoarding",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"2fe6282f-992a-4f46-bfc4-2775d044f8e7","Group","Lakeside Agents",,"Lakeside Agents",,"LakesideAgents@cbww.com","True","LakesideAgents",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"1c61cfbf-b250-4d59-be81-a8202a6445f9","Group","This team is for those of us who gather on Tuesdays.",,"Managers Only",,"ManagersOnly@cbww.com","True","ManagersOnly",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"63f0c759-1186-4261-bdb9-c1501b5b5614","Group","Lakeagents",,"Lakeagents",,"Lakeagents@cbww.com","True","Lakeagents",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"63f0c759-1186-4261-bdb9-c1501b5b5614","Group","Lakeagents",,"Lakeagents",,"Lakeagents@cbww.com","True","Lakeagents",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"a9bb131f-1d26-4032-a9d8-6401b627bb0b","Group",,,"Hub",,"hub@cbww.com","True","hub",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"f69bbc4c-ee68-4b66-bb43-47421dbbf4d8","Group","Brokers Only",,"Brokers Only",,"brokersonly@cbww.com","True","brokersonly",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
,"a18f0e7f-7380-4699-b6ab-78a5460ca430","Group","Property Management SharePoint Security Group",,"Property Management SharePoint",,,"False","00000000-0000-0000-0000-000000000000",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","True"
,"1c61cfbf-b250-4d59-be81-a8202a6445f9","Group","This team is for those of us who gather on Tuesdays.",,"Managers Only",,"ManagersOnly@cbww.com","True","ManagersOnly",,"System.Collections.Generic.List`1[Microsoft.Open.AzureAD.Model.ProvisioningError]","System.Collections.Generic.List`1[System.String]","False"
