"TeamName","GroupId","TeamVisibility","ChannelName","ChannelId"
"Parkwest Team","88926010-bcf5-4d30-8e19-b4415273fb1a","Private","General",
"Property Management Team","f38cc30a-21a3-4585-8af8-dac5c97ba180","Private","General",
"Lakeside Team","c5d7275b-4e7f-476c-8ec3-48b92bd5c94b","Private","General",
"test","0b472e65-3345-469e-8093-db26467b593a","Private","General",
"Accounting Team","433f79f2-3107-4db0-adb6-8063a408fa6c","Private","General",
"North Team","187164a6-20ae-4738-a919-3f51188176a6","Private","General",
"CBW Bearden Agents","8b20ab01-388d-40fe-b7ed-f795710ec7e4","Private","General",
"Bearden Hill Team","4a581018-681b-4a0c-b85a-2b18c0a4bb32","Private","General",
"Relo Friends","00ac1855-a671-4596-b705-44905980ef41","Private","General",
"CB Wallace Social Media Training","a311f56e-0e20-4164-a6cc-90449ea383de","Private","General",
"West Team","5d74458b-6495-4de1-bade-8e9311be2a66","Private","General",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","General Updates",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","North",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","West",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","Lakeside",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","Northshore",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","Bearden",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","General",
"SharePoint Migration","f763aff5-4a00-424f-9b01-310fddfe4a45","Private","Farragut",
"Farragut Team","b4db6dd8-0ede-45e3-a2f1-1196174ac5d9","Private","General",
"CBCW","aa3c2d8e-012b-41b7-8b6f-928105fcb525","Private","General",
"West Management","3886237f-9c2c-4cce-b9f8-993aa56df9e1","Private","General",
"Managers Only","1c61cfbf-b250-4d59-be81-a8202a6445f9","Private","General",
"Managers Only","1c61cfbf-b250-4d59-be81-a8202a6445f9","Private","Managers Meeting",
"Coldwell Banker Wallace Team","a8c3fa4d-d042-4a19-9ba2-ee073aefb5bf","Public","General",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","Property Management",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","Farragut",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","West",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","Bearden Hill",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","Lakeside",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","General",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","North",
"Site Spreadsheets","be027a76-f766-4936-95ba-ea0613144b9d","Private","Misc",
"Fabulous Farragut Staff","69c489d3-3b61-41d8-8559-4cc41411ee48","Private","General",
