"DisplayName","Description"
"SharePoint Migration","Team Site For Migration Updates"
"Fabulous Farragut Staff","Broker and Administrative Staff for Farragut Office"
"Property Management Team"," "
"North Team"," "
"test","test"
"Parkwest Team","Parkwest Team"
"Bearden Hill Team"," "
"Site Spreadsheets"," "
"Lakeside Team"," "
"Coldwell Banker Wallace Team"," "
"Farragut Team"," "
"West Team"," "
"CB Wallace Social Media Training","This is a team for remote social media trainings for Coldwell Banker Wallace."
"CBCW","CBCW"
"CBW Bearden Agents","A group created for the agents at the Bearden office to be able to communicate remotely!"
"Accounting Team"," "
"West Management","West Management"
"Relo Friends","Just to keep in touch"
"Managers Only","This team is for those of us who gather on Tuesdays."
