"Name","DisplayName","PrimarySmtpAddress"
"112016MSFT","112016MSFT","112016msft@cbww.com"
"accounting20220427145242","accounting","accounting@cbww.com"
"APC20200827163243","APC","apc@cbww.com"
"beardenadmin","Bearden Admin","beardenadmin@cbww.com"
"Bearden-Agents","Bearden-Agents","BeardenAgents@cbww.com"
"calendar20200206142546","calendar","calendar@cbww.com"
"CBW-Mig20230315175203","CBW-Mig","cbw-mig@cbww.com"
"cbwwmsft","cbwwmsft","cbwwmsft@cbww.com"
"Hub20190416174259","Hub","hub@cbww.com"
"License20190918191434","License","license@cbww.com"
"Relo@cbww.com","Relocation@cbww.com","relo@cbww.com"
"SendGrid","SendGrid","SendGrid@cbww.com"
"service20200203202656","service","service@cbww.com"
"support","support","support@cbww.com"
"Test Group","Test Group","testgrp@cbww.com"
"W and W PM","W and W PM","wandwpm@cbww.com"
"W and W PM Customer Service","W and W PM Customer Service","wandwpmcustomerservice@cbww.com"
"W W PM","W W PM","wwpm@cbww.com"
